交易日期,记账日期,交易摘要,交易金额
2025-07-02,2025-07-02,财付通-上海老炝饼（佳宝路店）,+2.50
2025-07-02,2025-07-02,支付宝-上海拉扎斯信息科技有限公司,+16.83
2025-07-01,2025-07-01,财付通-上海老炝饼（佳宝路店）,+3.00
2025-06-29,2025-06-29,财付通-对酒当歌地道川菜,+79.00
2025-06-29,2025-06-29,财付通-对酒当歌地道川菜,+580.00
2025-06-29,2025-06-29,10元消费金(满100元可用)返现,-10.00
2025-06-29,2025-06-29,财付通-对酒当歌地道川菜,-580.00
2025-06-29,2025-06-29,10元消费金(满100元可用)返现撤回,+10.00
2025-06-29,2025-06-29,财付通-蘇小柳,+55.00
2025-06-29,2025-06-29,财付通-虹桥丽宝广场,+15.00
2025-06-28,2025-06-28,通联支付-信用卡还款- 215500685,-2478.96
2025-06-27,2025-06-27,财付通-上海老炝饼（佳宝路店）,+2.50
2025-06-27,2025-06-27,财付通-辣朵云Bistro,+19.00
2025-06-26,2025-06-27,财付通-闪魔SMARTDEVIL官方旗舰店,+11.90
2025-06-26,2025-06-26,财付通-上海老炝饼（佳宝路店）,+2.50
2025-06-25,2025-06-26,财付通-时代年华超市,+2.00
2025-06-24,2025-06-25,财付通-拼多多平台商户,+20.78
2025-06-23,2025-06-23,财付通-红烧牛肉面上海虹梅路店,+19.00
2025-06-21,2025-06-21,10元消费金(满100元可用)返现撤回,+10.00
2025-06-21,2025-06-21,财付通-时代年华超市,+5.50
2025-06-20,2025-06-20,财付通-拼多多平台商户,-90.95
2025-06-20,2025-06-20,财付通-上海闵行开市客贸易有限公司,+33.80
2025-06-18,2025-06-18,财付通-拼多多平台商户,+153.48
2025-06-18,2025-06-18,10元消费金(满100元可用)返现,-10.00
2025-06-18,2025-06-18,财付通-华为云计算,+28.00
2025-06-17,2025-06-17,拼多多支付-当当网官方旗舰店,+377.00
2025-06-17,2025-06-17,拼多多支付-当当网官方旗舰店,-81.74
2025-06-17,2025-06-17,钱袋宝-李沁沁现炒浇头面田林店,+23.41
2025-06-16,2025-06-16,钱袋宝-湘溪里老长沙盖码饭,+21.88
2025-06-14,2025-06-14,钱袋宝-东北烧烤相约虹桥虹桥美食城,+32.56
2025-06-13,2025-06-13,钱袋宝-湘溪里老长沙盖码饭,+15.88
2025-06-11,2025-06-11,钱袋宝-老陕一面油泼面臊子面焖面吴,+25.00
2025-06-08,2025-06-08,财付通-东方能源,+128.00
2025-06-06,2025-06-06,财付通-上海闵行开市客贸易有限公司,+308.10
2025-06-05,2025-06-05,财付通-生烫牛肉米线隆江猪脚饭,+24.00
2025-06-04,2025-06-05,财付通-拼多多平台商户,+126.89
2025-06-04,2025-06-05,财付通-拼多多平台商户,-44.01
2025-06-04,2025-06-05,财付通-拼多多平台商户,-28.94
2025-06-04,2025-06-04,财付通-老长沙盖码饭（虹梅路店）,+19.00
2025-06-02,2025-06-02,钱袋宝-大润发华漕店,+45.36
2025-06-02,2025-06-02,钱袋宝-大润发华漕店,-0.54
2025-06-02,2025-06-02,钱袋宝-泰果切,+43.18
2025-06-01,2025-06-02,拼多多支付-辰暮官方旗舰店,+32.88
2025-06-01,2025-06-01,钱袋宝-美团支付,+210.90
2025-05-30,2025-05-30,财付通-李家牛肉汤虹梅路店,+16.00
