导出信息：
京东账号名：jd_6520fac7a482b
申请时间：2026-02-03 10:52:05
日期区间：2025-01-01 至 2025-12-31
导出交易类型：全部
导出交易场景：全部
共：63笔记录
收入：0笔，0.00元
支出：41笔(含1笔部分退款)，850.34元
不计收支：22笔，1736.47元

特别提示
1.本明细为每笔订单支付的明细，不包括已删除的记录；如需计算白条相关费用明细，请访问“白条-查账还款”进行查看；
2.个人资金互转、全额退款等记为【不计收支】类，部分退款的支出金额为剔除退款后的支付金额；
3.因系统原因或通讯故障等偶发因素导致本明细与实际交易结果不符时，以实际交易情况为准；
4.因统计逻辑不同，明细金额直接累加后，可能会和上方统计金额不一致，请以实际交易金额为准；
5.京东快捷支付等非余额支付方式可能既产生京东交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
6.明细如经任何涂改、编造，均立即失去效力；
7.禁止将本回单用于非法用途；
8.本明细仅供个人对账使用。

交易时间,商户名称,交易说明,金额,收/付款方式,交易状态,收/支,交易分类,交易订单号,商家订单号,备注
2025-12-28 14:36:52	,京东白条,白条主动还款,282.63,京东小金库,还款成功,不计收支,白条,2512280105258300030	,6393102512281436510265387618	,还款至12月账单	,
2025-12-28 14:36:51	,京东小金库,京东小金库-转入,282.63,招商银行储蓄卡(6527),交易成功,不计收支,小金库,10202512281436510062256223726	,20202512281436510069960223726	, ,
2025-12-19 10:54:15	,京东外卖,【热销】荠菜鸡蛋鲜肉馄饨 210克 等多件,16.56,京东白条,交易成功,支出,食品酒饮,3352235013964402	,11553852512191054150871672550	,计入1月账单，还款日2026-01-27	,
2025-12-18 11:19:36	,京东外卖,鸭腿面/粉 鸭腿细粉,13.88,京东白条,交易成功,支出,食品酒饮,3351235013723465	,11553722512181119360998588838	,计入1月账单，还款日2026-01-27	,
2025-12-17 11:27:05	,京东外卖,雪菜/青菜肉丝汤面/粉 雪菜肉丝细粉 等多件,10.59,京东白条,交易成功,支出,食品酒饮 其他网购,3350235013473422	,11563712512171127050564657172	,计入12月账单，还款日2025-12-27	,
2025-12-11 11:02:20	,京东外卖,爆品！口水鸡+菜饭套餐 默认 等多件,11.30,京东白条,交易成功,支出,食品酒饮 其他网购,3344235002400880	,11563712512111102200497407150	,计入12月账单，还款日2025-12-27	,
2025-12-10 11:28:58	,京东外卖,猛火炒饭（口味随心选） 牛肉炒饭,13.80,京东白条,交易成功,支出,食品酒饮,3343235002153040	,11561962512101128580021664413	,计入12月账单，还款日2025-12-27	,
2025-12-08 11:21:15	,京东外卖,【热销】鲜肉小馄饨 一人份,11.90,京东白条,交易成功,支出,食品酒饮,3341235011324094	,11563312512081121150773194443	,计入12月账单，还款日2025-12-27	,
2025-12-06 10:52:13	,京东外卖,【镇店之宝】烤兔后腿5个装（真空包装） 默认,79.70,京东白条,交易成功,支出,食品酒饮,3339235001093309	,11563462512061052130113135296	,计入12月账单，还款日2025-12-27	,
2025-12-03 11:18:57	,京东外卖,老北京炸酱面 1份 等多件,8.80,京东白条,交易成功,支出,食品酒饮,327383436048	,11563312512031118570316253036	,计入12月账单，还款日2025-12-27	,
2025-12-02 10:59:46	,京东外卖,招牌鸡腿套餐饭 1份,9.80,京东白条,交易成功,支出,食品酒饮,327189953143	,11563442512021059460870723482	,计入12月账单，还款日2025-12-27	,
2025-12-01 10:55:53	,京东外卖,青椒肉丝盖饭 1份,12.80,京东白条,交易成功,支出,食品酒饮,344713897098	,11563632512011055530901576842	,计入12月账单，还款日2025-12-27	,
2025-11-28 12:46:24	,京东白条,白条主动还款,46.47,京东小金库,还款成功,不计收支,白条,2511280114583100153	,6393252511281246240095886691	,还款至11月账单	,
2025-11-28 12:46:24	,京东小金库,白条主动还款-转入,46.47,招商银行储蓄卡(6527),交易成功,不计收支,小金库,20251128037011892902	,10202511281246240026915731684	, ,
2025-11-28 12:46:24	,京东小金库,京东小金库-转入,46.47,招商银行储蓄卡(6527),交易成功,不计收支,小金库,10202511281246240026915731684	,20202511281246240025725731684	, ,
2025-11-28 11:08:11	,京东外卖,鸡蛋番茄面 1人份 等多件,30.50,招商银行储蓄卡(6527),交易成功,支出,食品酒饮 其他网购,344517279618	,14083482511281108110881426842	, ,
2025-11-26 11:23:34	,京东外卖,香菇肉丝盖浇饭 1份,14.80,京东白条,交易成功,支出,食品酒饮,327059524467	,11563462511261123340246215829	,计入12月账单，还款日2025-12-27	,
2025-11-25 11:36:26	,京东外卖,青椒肉丝盖浇饭,10.80,京东白条,交易成功,支出,食品酒饮,344279748012	,11563562511251136260463793269	,计入12月账单，还款日2025-12-27	,
2025-11-24 11:13:34	,京东外卖,红烧大排面/粉 红烧大排面,15.79,京东白条,交易成功,支出,食品酒饮,326817136823	,11561962511241113340054893003	,计入12月账单，还款日2025-12-27	,
2025-11-23 11:26:07	,京东外卖,荤素8荤10素麻辣烫套餐 1份 等多件,18.43,京东白条,交易成功,支出,食品酒饮 其他网购,344214479786	,11561062511231126070023226061	,计入12月账单，还款日2025-12-27	,
2025-11-22 11:26:18	,京东外卖,雪菜肉丝鸡蛋炒 雪菜肉丝炒饭,12.79,京东白条,交易成功,支出,食品酒饮,326727640148	,11563102511221126180761681048	,计入12月账单，还款日2025-12-27	,
2025-11-21 11:23:33	,京东外卖,鸡腿肉鸡蛋炒 鸡腿肉鸡蛋炒饭,13.79,京东白条,交易成功,支出,食品酒饮,326825528498	,11563552511211123330038892579	,计入12月账单，还款日2025-12-27	,
2025-11-20 11:18:54	,京东外卖,鸭腿饭套餐,13.80,京东白条,交易成功,支出,食品酒饮,326730184222	,11553522511201118540820354711	,计入12月账单，还款日2025-12-27	,
2025-11-19 11:09:48	,京东外卖,扬州炒饭,12.79,京东白条,交易成功,支出,食品酒饮,343867047500	,11561962511191109480025476922	,计入12月账单，还款日2025-12-27	,
2025-11-18 11:20:18	,京东外卖,青椒肉丝盖浇饭,10.80,京东白条,交易成功,支出,食品酒饮,326645675928	,11563252511181120180915897108	,计入12月账单，还款日2025-12-27	,
2025-11-17 18:23:58	,京东外卖,雪菜/青菜肉丝汤面/粉 雪菜肉丝细粉,10.79,京东白条,交易成功,支出,食品酒饮,326585214555	,11553512511171823580473426800	,计入11月账单，还款日2025-11-27	,
2025-11-16 11:01:05	,京东外卖,雪菜/青菜肉丝汤面/粉 雪菜肉丝细粉,9.79,京东白条,交易成功,支出,食品酒饮,343661857383	,11553442511161101040340809180	,计入11月账单，还款日2025-11-27	,
2025-11-12 10:47:08	,京东外卖,【豪华套餐】小排骨焖黑鸭煲+卤味自选+可乐 1人份 等多件,25.86,京东白条,交易成功,支出,食品酒饮,343333863400	,11563102511121047070556226126	,计入11月账单，还款日2025-11-27	,
2025-11-09 23:30:19	,京东平台商户,退款-绞蒜器蒜泥器绞肉机大容量多功能料理机葱姜蒜捣蒜器火锅蘸料 【3叶刀】 250ml type-c快充,1.64,招商银行储蓄卡(6527),退款成功,不计收支,网购,326050360510	,2511092318578378060	, ,
2025-11-09 23:25:45	,京东平台商户,绞蒜器蒜泥器绞肉机大容量多功能料理机葱姜蒜捣蒜器火锅蘸料 【3叶刀】 250ml type-c快充,1.64(已全额退款),招商银行储蓄卡(6527),交易成功,不计收支,日用百货,326050360510	,101953772511092325440593180686	, ,
2025-11-04 09:29:03	,京东白条,白条主动还款,45.11,京东小金库,还款成功,不计收支,白条,2511040113412100212	,6393682511040929020133567581	,还款至10月账单	,
2025-11-04 09:29:02	,京东小金库,京东小金库-转入,45.11,招商银行储蓄卡(6527),交易成功,不计收支,小金库,10202511040929020074305453483	,20202511040929020075720453483	, ,
2025-09-29 12:00:32	,京东白条,白条主动还款,41.44,京东小金库,还款成功,不计收支,白条,2509290114311400036	,6393582509291200310280378543	,还款至09月账单	,
2025-09-29 12:00:31	,京东小金库,京东小金库-转入,41.44,招商银行储蓄卡(6527),交易成功,不计收支,小金库,10202509291200310084640208614	,20202509291200310087784208614	, ,
2025-09-28 11:03:16	,京东外卖,牛肉胡辣汤+4个鲜肉水煎包 等多件,20.90,招商银行储蓄卡(6527),交易成功,支出,食品酒饮 其他网购,323399688880	,14083632509281103160544495171	, ,
2025-09-27 12:08:54	,京东外卖,炸蛋番茄牛肉粒捞饭 芹菜粒加汤里 含牛肉末 蜂窝炸蛋,21.90,京东白条,交易成功,支出,食品酒饮,338273099913	,11563572509271208540071396931	,计入10月账单，还款日2025-10-27	,
2025-09-25 23:41:20	,京东外卖,三荤+素拼【随心配】 自选套餐【强烈推荐】 单人套餐 等多件,22.90,京东白条,交易成功,支出,食品酒饮 其他网购,323236062298	,11563312509252341200770959773	,计入10月账单，还款日2025-10-27	,
2025-09-17 11:22:48	,京东外卖,小黄油美式 冰 大杯 标准甜,10.90,京东白条,交易成功,支出,食品酒饮,322515688688	,11562942509171122480151591617	,计入9月账单，还款日2025-09-27	,
2025-09-02 10:42:31	,京东外卖,爆品！口水鸡+菜饭套餐 默认 等多件,11.30,京东白条,交易成功,支出,食品酒饮 其他网购,335916932067	,11562962509021042310930529509	,计入9月账单，还款日2025-09-27	,
2025-08-27 14:24:53	,京东白条,白条主动还款,67.89,京东小金库,还款成功,不计收支,白条,2508270095186400088	,6391062508271424520357422500	,还款至08月账单	,
2025-08-27 14:24:53	,京东小金库,京东小金库-转入,67.89,招商银行储蓄卡(6527),交易成功,不计收支,小金库,10202508271424520102801045971	,20202508271424530102528045971	, ,
2025-08-19 17:43:26	,京东外卖,豪华10荤10素单人餐 1人份 等多件,19.18,京东白条,交易成功,支出,食品酒饮,333987395140	,11563362508191743250444455509	,计入9月账单，还款日2025-09-27	,
2025-08-13 18:09:44	,京东外卖,豪华10荤10素单人餐 1人份 等多件,17.20,京东白条,交易成功,支出,食品酒饮 其他网购,332477108610	,11562612508131809440964932039	,计入8月账单，还款日2025-08-27	,
2025-07-31 13:32:55	,京东白条,白条主动还款,50.22,招商银行储蓄卡(6527),还款成功,不计收支,白条,2507310044874700007	,5862612507311332540674579742	,还款至07月账单	,
2025-07-28 10:59:57	,京东外卖,强推丨鲜椒碎牛肉拌饺 25只 等多件,19.80,京东白条,交易成功,支出,食品酒饮,319725323194	,11563102507281059570297932987	,计入8月账单，还款日2025-08-27	,
2025-07-22 10:54:24	,京东外卖,超大份·地锅鸡 无主食 等多件,30.89,京东白条,交易成功,支出,食品酒饮,319404341405	,11563122507221054240616146948	,计入8月账单，还款日2025-08-27	,
2025-07-04 10:44:27	,京东外卖,【温】藤椒鸡腿肉意大利面 500克 等多件,10.99,京东白条,交易成功,支出,食品酒饮 其他网购,324424913388	,11561062507041044270926165221	,计入7月账单，还款日2025-07-27	,
2025-06-20 19:07:24	,京东平台商户,退款-一脚踏进物理世界3-6岁物理启蒙科普绘本小猛犸童书(平装9册)等多件,22.22,京东白条,退款成功,不计收支,网购,317804067856	,2506201917699985102	, ,
2025-06-20 19:04:30	,京东平台商户,一脚踏进物理世界3-6岁物理启蒙科普绘本小猛犸童书(平装9册) 等多件,61.29(已退款22.22),京东白条,交易成功,支出,图书文娱,322416563969	,11563072506201904300709689896	,计入7月账单，还款日2025-07-27	,
2025-05-08 12:05:36	,京东外卖,【加量50%】地锅鸡 无主食 等多件,21.89,招商银行储蓄卡(6527),交易成功,支出,食品酒饮 其他网购,313948705660	,14082972505081205360251126016	, ,
2025-04-26 19:40:10	,京东白条,白条主动还款,182.30,京东小金库,还款成功,不计收支,白条,2504260107061200046	,17753022504261940100665467320	,还款至多月账单	,
2025-04-26 19:40:09	,京东小金库,京东小金库-转入,182.30,招商银行储蓄卡(6527),交易成功,不计收支,小金库,5212449006750040	,14163112504261940090971326736	, ,
2025-04-05 11:27:04	,京东平台商户,米家小米空气炸锅N1 家用多功能电炸锅 微蒸汽嫩烤 透明可视化免翻面 金属内腔不沾锅 大容量5升 等多件,181.02,京东白条,交易成功,支出,数码电器 日用百货,312609108076	,11561072504051127040908576337	,计入4月账单，还款日2025-04-27	,
2025-03-01 17:19:05	,京东白条,白条主动还款,30.82,京东小金库,还款成功,不计收支,白条,2503010106232300028	,17750722503011719050048847617	,还款至02月账单	,
2025-03-01 17:19:05	,京东小金库,京东小金库-转入,30.82,招商银行储蓄卡(6527),交易成功,不计收支,小金库,5911477630090040	,14161752503011719040897156434	, ,
2025-02-24 20:32:52	,京东支付,丰巢智能柜,0.48,京东白条,交易成功,支出,其他,202502242032462018200184150423	,20250224203246771062035741208243	,计入3月账单，还款日2025-03-27	,
2025-02-19 20:13:12	,京东支付,上海哈啰普惠科技有限公司,0.80,京东白条,交易成功,支出,其他,202502192013022017110824920266	,CPR250219201302579224519172G	,计入3月账单，还款日2025-03-27	,
2025-02-13 20:32:07	,京东支付,丰巢智能柜,0.98,京东白条,交易成功,支出,其他,202502132032012014620300752117	,20250213203201488062035731208243	,计入2月账单，还款日2025-02-27	,
2025-02-11 23:48:05	,京东平台商户,退款-杰士邦避孕套喵舌颗粒多12只安全套套子男用裸入超薄成人情趣计生用品,50.17,京东白条,退款成功,不计收支,网购,310033932236	,2502112316865088625	, ,
2025-02-11 23:47:14	,京东平台商户,杰士邦避孕套喵舌颗粒多12只安全套套子男用裸入超薄成人情趣计生用品,50.17(已全额退款),京东白条,交易成功,不计收支,医疗保健,310033932236	,11552572502112347140468435382	,计入2月账单，还款日2025-02-27	,
2025-02-02 09:52:51	,京东白条,白条主动还款,172.43,招商银行储蓄卡(6527),还款成功,不计收支,白条,2502020103554600059	,5861752502020952500663694211	,还款至01月账单	,
2025-01-27 14:29:48	,京东支付,成都哈拜网络科技有限公司,29.80,京东白条,交易成功,支出,其他,202501271429362018780923382383	,CPR250127142936579224519172C	,计入2月账单，还款日2025-02-27	,
2025-01-05 17:52:09	,京东支付,丰巢智能柜,0.48,京东白条,交易成功,支出,其他,202501051751392017510836952296	,20250105175139241013035022901243	,计入1月账单，还款日2025-01-27	,
