------------------------------------------------------------------------------------
导出信息：
姓名：张文森
支付宝账户：18336968029
起始时间：[2025-01-01 00:00:00]    终止时间：[2025-12-31 23:59:59]
导出交易类型：[全部]
导出时间：[2026-02-03 11:14:33]
共1584笔记录
收入：145笔 213963.21元
支出：839笔 218224.75元
不计收支：600笔 405463.05元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2025-12-31 20:41:37,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海公交-803路-2025-12-31 18:41:34,支出,1.00,花呗,交易成功,2025123122001445901446701069	,25123120413710400350	,,
2025-12-31 20:34:05,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-漕河泾开发区-2025-12-31 18:21:50-七宝-2025-12-31 18:34:02,支出,3.00,花呗,交易成功,2025123122001445901444977187	,25123120340510400369	,,
2025-12-31 18:04:48,餐饮美食,上海盒马网络科技有限公司,/,退款-【炖煮季】盒适 新黄心土豆 约1kg等多件,不计收支,0.10,花呗,退款成功,2025123122001145901444804031*REFUND_P4980508597279343545R369399351837344535	,REFUND_P4980508597279343545R369399351837344535	,,
2025-12-31 18:04:38,餐饮美食,上海盒马网络科技有限公司,/,退款-【炖煮季】盒适 新黄心土豆 约1kg等多件,不计收支,0.23,花呗,退款成功,2025123122001145901444804031*REFUND_P4980508597275343545R369391429558344535	,REFUND_P4980508597275343545R369391429558344535	,,
2025-12-31 17:41:31,餐饮美食,盒马,shh***@163.com,【炖煮季】盒适 新黄心土豆 约1kg等多件,支出,50.94,花呗,交易成功,2025123122001145901444804031	,T200P4980508597274343545	,,
2025-12-31 11:37:04,投资理财,余额宝,jin***@cmfchina.com,余额宝-自动转入,不计收支,2.96,账户余额,交易成功,20251231019130101000900015411489	,20251231009130501000900064710193	,,
2025-12-31 11:01:01,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-七宝-2025-12-31 08:50:29-漕河泾开发区-2025-12-31 09:00:58,支出,2.00,花呗,交易成功,2025123122001445901439308626	,25123111010110500117	,,
2025-12-31 10:13:05,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海公交-803路-2025-12-31 08:13:02,支出,1.95,花呗&花呗立减,交易成功,2025123122001445901439760028	,25123110130510400486	,,
2025-12-31 02:15:19,投资理财,招商财富宝A,/,余额宝-2025.12.30-收益发放,不计收支,3.68,余额宝,交易成功,20251231345328396901	,	,,
2025-12-30 23:18:26,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海公交-803路-2025-12-30 21:18:23,支出,1.00,花呗,交易成功,2025123022001445901439788069	,25123023182610400022	,,
2025-12-30 23:12:57,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-漕河泾开发区-2025-12-30 21:03:33-七宝-2025-12-30 21:12:54,支出,2.92,花呗&花呗立减,交易成功,2025123022001445901441403039	,25123023125710400144	,,
2025-12-30 19:31:24,转账红包,云账户综合服务平台,/,云账户,收入,2.96,,交易成功,20251230020070011570900066909714	,1145540565623362000	,,
2025-12-30 18:19:23,餐饮美食,玖集科产店,/,玖集科产大厦店-消费,支出,20.33,宁波银行信用卡(4573),交易成功,2025123022001445901436068072	,69126600004836000083620251230615444281	,,
2025-12-30 10:55:34,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-七宝-2025-12-30 08:44:03-漕河泾开发区-2025-12-30 08:55:30,支出,2.00,宁波银行信用卡(4573),交易成功,2025123022001445901434116361	,25123010553310400340	,,
2025-12-30 10:46:47,投资理财,招商基金管理有限公司,/,余额宝-自动转入,不计收支,22.00,,交易成功,20251230300008504445901216577190	,	,,
2025-12-30 10:46:45,转账红包,杭州柏鹿信息技术有限公司,/,小蚕提现,收入,22.00,,交易成功,20251230020070011530900061965587	,XC227915197479986508	,,
2025-12-30 10:00:08,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海公交-803路-2025-12-30 08:00:05,支出,2.00,宁波银行信用卡(4573),交易成功,2025123022001445901435076154	,25123010000810500064	,,
2025-12-30 08:38:00,日用百货,沪松公路五店,180***@qq.com,上海全家便利店,支出,2.80,宁波银行信用卡(4573),交易成功,2025123022001445901436520713	,SXA1O3716682826	,,
2025-12-30 02:06:21,投资理财,招商财富宝A,/,余额宝-2025.12.29-收益发放,不计收支,3.74,余额宝,交易成功,20251230339214249901	,	,,
2025-12-29 20:50:44,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海公交-803路-2025-12-29 18:50:41,支出,1.00,宁波银行信用卡(4573),交易成功,2025122922001445901435360399	,25122920504410400405	,,
2025-12-29 20:38:18,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-漕河泾开发区-2025-12-29 18:27:40-七宝-2025-12-29 18:38:15,支出,3.00,宁波银行信用卡(4573),交易成功,2025122922001445901436056736	,25122920381810400224	,,
2025-12-29 11:43:49,投资理财,余额宝,jin***@cmfchina.com,余额宝-自动转入,不计收支,17.41,账户余额,交易成功,20251229019130101000900013631912	,20251229009130501000900063288887	,,
2025-12-29 10:57:13,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-七宝-2025-12-29 08:47:20-漕河泾开发区-2025-12-29 08:57:09,支出,1.00,宁波银行信用卡(4573)&宁波银行立减金,交易成功,2025122922001445901427157467	,25122910571210400103	,,
2025-12-29 10:02:30,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海公交-803路-2025-12-29 08:02:27,支出,2.00,宁波银行信用卡(4573),交易成功,2025122922001445901427618806	,25122910023010400055	,,
